Experiment_type,Experiment_name,Experiment_tag,Experiment_description,Int_value
LLM-Arena,Pretest,0,Lift|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE,1456
LLM-Arena,Pretest,0,Lift|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_DEFAULT,1457
LLM-Arena,Pretest,0,Lift|MUTANT_ANNOTATED_FULL_CLASS|TEST_ANNOTATED_SINGLE_TEST,1454
LLM-Arena,Pretest,0,Lift|MUTANT_ANNOTATED_FULL_CLASS|TEST_DEFAULT,1453
LLM-Arena,Pretest,0,Lift|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_ANNOTATED,1455
LLM-Arena,Pretest,0,Lift|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_DEFAULT,1458
LLM-Arena,Pretest,0,Lift|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1461
LLM-Arena,Pretest,0,Lift|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE,1460
LLM-Arena,Pretest,0,Lift|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1462
LLM-Arena,Pretest,0,Lift|MUTANT_ANNOTATED_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1459
LLM-Arena,Pretest,0,Lift|MUTANT_DEFAULT|TEST_DEFAULT,1463
LLM-Arena,Pretest,0,Lift|MUTANT_DEFAULT|TEST_ANNOTATED_SINGLE_TEST,1464
LLM-Arena,Pretest,0,Lift|MUTANT_DEFAULT|TEST_FULL_SUITE,1465
LLM-Arena,Pretest,0,Lift|MUTANT_DEFAULT|TEST_FULL_SUITE_PLUS_DEFAULT,1466
LLM-Arena,Pretest,0,Lift|MUTANT_DEFAULT|TEST_FULL_SUITE_PLUS_ANNOTATED,1467
LLM-Arena,Pretest,0,Lift|MUTANT_RANDOM_SINGLE_METHOD|TEST_DEFAULT,1468
LLM-Arena,Pretest,0,Lift|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_DEFAULT,1471
LLM-Arena,Pretest,0,Lift|MUTANT_RANDOM_SINGLE_METHOD|TEST_ANNOTATED_SINGLE_TEST,1469
LLM-Arena,Pretest,0,Lift|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE,1470
LLM-Arena,Pretest,0,Lift|MUTANT_RANDOM_SINGLE_METHOD|TEST_FULL_SUITE_PLUS_ANNOTATED,1472
LLM-Arena,Pretest,0,Lift|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_DEFAULT,1473
LLM-Arena,Pretest,0,Lift|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_ANNOTATED_SINGLE_TEST,1474
LLM-Arena,Pretest,0,Lift|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE,1475
LLM-Arena,Pretest,0,Lift|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE_PLUS_DEFAULT,1476
LLM-Arena,Pretest,0,Lift|MUTANT_DEFAULT_WITHOUT_EXISTING|TEST_FULL_SUITE_PLUS_ANNOTATED,1477
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_ANNOTATED_FULL_CLASS|TEST_DEFAULT,1478
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_ANNOTATED_FULL_CLASS|TEST_ANNOTATED_SINGLE_TEST,1479
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE_PLUS_DEFAULT,1481
LLM-Arena,Pretest,0,CaseInsensitiveString|MUTANT_ANNOTATED_FULL_CLASS|TEST_FULL_SUITE,1480
