Conversation_ID,Index_in_conversation,Message_type,Input_tokens,Output_tokens,timestamp,Model_name,Model_type,Content
1,0,SYSTEM,0,0,2026-01-31 17:12:45,gpt-4.1-nano,OPENAI,"You are an experienced Java developer.

You will see a class of java code. Write a complete test suite for it.

There is a strict rule of using at most 2 assertions per test. Always abide by it.

Every test must be self-contained, do not use any setup or utility methods.

Write nothing but the code of the test class.

Use JUnit 4.

Never reply in natural language.
"
1,1,USER,0,0,2026-01-31 17:12:45,gpt-4.1-nano,OPENAI,"/**
 * <p>A contiguous range of characters, optionally negated.</p>
 * 
 * <p>Instances are immutable.</p>
 */
public class CharRange {

    /** The first character, inclusive, in the range. */
    private final char start;
    /** The last character, inclusive, in the range. */
    private final char end;
    /** True if the range is everything except the characters specified. */
    private final boolean negated;
    
    /** Cached toString. */
    private transient String iToString;

    /**
     * <p>Constructs a {@code CharRange} over a set of characters,
     * optionally negating the range.</p>
     *
     * <p>A negated range includes everything except that defined by the
     * start and end characters.</p>
     * 
     * <p>If start and end are in the wrong order, they are reversed.
     * Thus {@code a-e} is the same as {@code e-a}.</p>
     *
     * @param start  first character, inclusive, in this range
     * @param end  last character, inclusive, in this range
     * @param negated  true to express everything except the range
     */
    private CharRange(char start, char end, final boolean negated) {
        super();
        if (start > end) {
            final char temp = start;
            start = end;
            end = temp;
        }
        
        this.start = start;
        this.end = end;
        this.negated = negated;
    }

    /**
     * <p>Constructs a {@code CharRange} over a single character.</p>
     *
     * @param ch  only character in this range
     * @return the new CharRange object
     * @see CharRange#CharRange(char, char, boolean)
     * @since 2.5
     */
    public static CharRange is(final char ch) {
        return new CharRange(ch, ch, false);
    }

    /**
     * <p>Constructs a negated {@code CharRange} over a single character.</p>
     *
     * @param ch  only character in this range
     * @return the new CharRange object
     * @see CharRange#CharRange(char, char, boolean)
     * @since 2.5
     */
    public static CharRange isNot(final char ch) {
        return new CharRange(ch, ch, true);
    }

    /**
     * <p>Constructs a {@code CharRange} over a set of characters.</p>
     *
     * @param start  first character, inclusive, in this range
     * @param end  last character, inclusive, in this range
     * @return the new CharRange object
     * @see CharRange#CharRange(char, char, boolean)
     * @since 2.5
     */
    public static CharRange isIn(final char start, final char end) {
        return new CharRange(start, end, false);
    }

    /**
     * <p>Constructs a negated {@code CharRange} over a set of characters.</p>
     *
     * @param start  first character, inclusive, in this range
     * @param end  last character, inclusive, in this range
     * @return the new CharRange object
     * @see CharRange#CharRange(char, char, boolean)
     * @since 2.5
     */
    public static CharRange isNotIn(final char start, final char end) {
        return new CharRange(start, end, true);
    }

    // Accessors
    //-----------------------------------------------------------------------
    /**
     * <p>Gets the start character for this character range.</p>
     * 
     * @return the start char (inclusive)
     */
    public char getStart() {
        return this.start;
    }

    /**
     * <p>Gets the end character for this character range.</p>
     * 
     * @return the end char (inclusive)
     */
    public char getEnd() {
        return this.end;
    }

    /**
     * <p>Is this {@code CharRange} negated.</p>
     * 
     * <p>A negated range includes everything except that defined by the
     * start and end characters.</p>
     *
     * @return {@code true} if negated
     */
    public boolean isNegated() {
        return negated;
    }

    // Contains
    //-----------------------------------------------------------------------
    /**
     * <p>Is the character specified contained in this range.</p>
     *
     * @param ch  the character to check
     * @return {@code true} if this range contains the input character
     */
    public boolean contains(final char ch) {
        return (ch >= start && ch <= end) != negated;
    }

    /**
     * <p>Are all the characters of the passed in range contained in
     * this range.</p>
     *
     * @param range  the range to check against
     * @return {@code true} if this range entirely contains the input range
     * @throws IllegalArgumentException if {@code null} input
     */
    public boolean contains(final CharRange range) {
        if (range == null) {
            throw new IllegalArgumentException(""The Range must not be null"");
        }
        if (negated) {
            if (range.negated) {
                return start >= range.start && end <= range.end;
            }
            return range.end < start || range.start > end;
        }
        if (range.negated) {
            return start == 0 && end == Character.MAX_VALUE;
        }
        return start <= range.start && end >= range.end;
    }

    // Basics
    //-----------------------------------------------------------------------
    /**
     * <p>Compares two CharRange objects, returning true if they represent
     * exactly the same range of characters defined in the same way.</p>
     * 
     * @param obj  the object to compare to
     * @return true if equal
     */
    @Override
    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (obj instanceof CharRange == false) {
            return false;
        }
        final CharRange other = (CharRange) obj;
        return start == other.start && end == other.end && negated == other.negated;
    }

    /**
     * <p>Gets a hashCode compatible with the equals method.</p>
     * 
     * @return a suitable hashCode
     */
    @Override
    public int hashCode() {
        return 83 + start + 7 * end + (negated ? 1 : 0);
    }
    
    /**
     * <p>Gets a string representation of the character range.</p>
     * 
     * @return string representation of this range
     */
    @Override
    public String toString() {
        if (iToString == null) {
            final StringBuilder buf = new StringBuilder(4);
            if (isNegated()) {
                buf.append('^');
            }
            buf.append(start);
            if (start != end) {
                buf.append('-');
                buf.append(end);
            }
            iToString = buf.toString();
        }
        return iToString;
    }
    
}"
1,2,AI,1648,1016,2026-01-31 17:12:52,gpt-4.1-nano,OPENAI,"import org.junit.Test;
import static org.junit.Assert.*;

public class CharRangeTest {

    @Test
    public void testIs_singleCharacterRange() {
        CharRange cr = CharRange.is('a');
        assertEquals('a', cr.getStart());
        assertEquals('a', cr.getEnd());
        assertFalse(cr.isNegated());
    }

    @Test
    public void testIsNot_singleCharacterRange() {
        CharRange cr = CharRange.isNot('z');
        assertEquals('z', cr.getStart());
        assertEquals('z', cr.getEnd());
        assertTrue(cr.isNegated());
    }

    @Test
    public void testIsIn_range() {
        CharRange cr = CharRange.isIn('b', 'd');
        assertEquals('b', cr.getStart());
        assertEquals('d', cr.getEnd());
        assertFalse(cr.isNegated());
    }

    @Test
    public void testIsNotIn_range() {
        CharRange cr = CharRange.isNotIn('x', 'z');
        assertEquals('x', cr.getStart());
        assertEquals('z', cr.getEnd());
        assertTrue(cr.isNegated());
    }

    @Test
    public void testConstructor_swapsStartEnd() {
        CharRange cr = new CharRange('d', 'a', false);
        assertEquals('a', cr.getStart());
        assertEquals('d', cr.getEnd());
        assertFalse(cr.isNegated());
    }

    @Test
    public void testContains_characterWithinRange() {
        CharRange cr = CharRange.isIn('a', 'f');
        assertTrue(cr.contains('c'));
        assertFalse(cr.contains('z'));
    }

    @Test
    public void testContains_characterOutOfRange() {
        CharRange cr = CharRange.isIn('a', 'f');
        assertFalse(cr.contains('z'));
    }

    @Test
    public void testContains_negatedRange_characterExcluded() {
        CharRange cr = CharRange.isNotIn('a', 'f');
        assertFalse(cr.contains('c'));
        assertTrue(cr.contains('z'));
    }

    @Test
    public void testContains_negatedRange_characterIncluded() {
        CharRange cr = CharRange.isNotIn('a', 'f');
        assertTrue(cr.contains('z'));
        assertFalse(cr.contains('c'));
    }

    @Test
    public void testContains_rangeContainsAnother() {
        CharRange parent = CharRange.isIn('a', 'z');
        CharRange small = CharRange.isIn('b', 'c');
        assertTrue(parent.contains(small));
    }

    @Test
    public void testContains_rangeNotContained() {
        CharRange parent = CharRange.isIn('a', 'z');
        CharRange outside = CharRange.isIn('z', 'z');
        assertFalse(parent.contains(outside));
    }

    @Test
    public void testContains_negatedRange_withNegatedInput() {
        CharRange range1 = CharRange.isNotIn('a', 'z');
        CharRange range2 = CharRange.isNotIn('a', 'z');
        assertTrue(range1.contains(range2));
    }

    @Test
    public void testEquals_sameObject() {
        CharRange cr = CharRange.is('a');
        assertTrue(cr.equals(cr));
    }

    @Test
    public void testEquals_identicalRanges() {
        CharRange cr1 = CharRange.is('a');
        CharRange cr2 = CharRange.is('a');
        assertTrue(cr1.equals(cr2));
    }

    @Test
    public void testEquals_differentObjects() {
        CharRange cr = CharRange.is('a');
        assertFalse(cr.equals(null));
        assertFalse(cr.equals(""notCharRange""));
        CharRange cr2 = CharRange.is('b');
        assertFalse(cr.equals(cr2));
    }

    @Test
    public void testHashCode_consistency() {
        CharRange cr = CharRange.is('a');
        assertEquals(cr.hashCode(), cr.hashCode());
    }

    @Test
    public void testToString_notNegated_singleChar() {
        CharRange cr = CharRange.is('f');
        assertEquals(""f"", cr.toString());
    }

    @Test
    public void testToString_negated_singleChar() {
        CharRange cr = CharRange.isNot('f');
        assertEquals(""^f"", cr.toString());
    }

    @Test
    public void testToString_range() {
        CharRange cr = CharRange.isIn('a', 'f');
        assertEquals(""a-f"", cr.toString());
    }

    @Test
    public void testToString_negated_range() {
        CharRange cr = CharRange.isNotIn('a', 'f');
        assertEquals(""^a-f"", cr.toString());
    }
}"
2,0,SYSTEM,0,0,2026-01-31 17:12:46,gpt-4.1-nano,OPENAI,"You are an experienced Java developer.

You will see a class of java code. Write a complete test suite for it.

There is a strict rule of using at most 2 assertions per test. Always abide by it.

Every test must be self-contained, do not use any setup or utility methods.

Write nothing but the code of the test class.

Use JUnit 4.

Never reply in natural language.
"
2,1,USER,0,0,2026-01-31 17:12:46,gpt-4.1-nano,OPENAI,"/**
 * <p>A contiguous range of characters, optionally negated.</p>
 * 
 * <p>Instances are immutable.</p>
 */
public class CharRange {

    /** The first character, inclusive, in the range. */
    private final char start;
    /** The last character, inclusive, in the range. */
    private final char end;
    /** True if the range is everything except the characters specified. */
    private final boolean negated;
    
    /** Cached toString. */
    private transient String iToString;

    /**
     * <p>Constructs a {@code CharRange} over a set of characters,
     * optionally negating the range.</p>
     *
     * <p>A negated range includes everything except that defined by the
     * start and end characters.</p>
     * 
     * <p>If start and end are in the wrong order, they are reversed.
     * Thus {@code a-e} is the same as {@code e-a}.</p>
     *
     * @param start  first character, inclusive, in this range
     * @param end  last character, inclusive, in this range
     * @param negated  true to express everything except the range
     */
    private CharRange(char start, char end, final boolean negated) {
        super();
        if (start > end) {
            final char temp = start;
            start = end;
            end = temp;
        }
        
        this.start = start;
        this.end = end;
        this.negated = negated;
    }

    /**
     * <p>Constructs a {@code CharRange} over a single character.</p>
     *
     * @param ch  only character in this range
     * @return the new CharRange object
     * @see CharRange#CharRange(char, char, boolean)
     * @since 2.5
     */
    public static CharRange is(final char ch) {
        return new CharRange(ch, ch, false);
    }

    /**
     * <p>Constructs a negated {@code CharRange} over a single character.</p>
     *
     * @param ch  only character in this range
     * @return the new CharRange object
     * @see CharRange#CharRange(char, char, boolean)
     * @since 2.5
     */
    public static CharRange isNot(final char ch) {
        return new CharRange(ch, ch, true);
    }

    /**
     * <p>Constructs a {@code CharRange} over a set of characters.</p>
     *
     * @param start  first character, inclusive, in this range
     * @param end  last character, inclusive, in this range
     * @return the new CharRange object
     * @see CharRange#CharRange(char, char, boolean)
     * @since 2.5
     */
    public static CharRange isIn(final char start, final char end) {
        return new CharRange(start, end, false);
    }

    /**
     * <p>Constructs a negated {@code CharRange} over a set of characters.</p>
     *
     * @param start  first character, inclusive, in this range
     * @param end  last character, inclusive, in this range
     * @return the new CharRange object
     * @see CharRange#CharRange(char, char, boolean)
     * @since 2.5
     */
    public static CharRange isNotIn(final char start, final char end) {
        return new CharRange(start, end, true);
    }

    // Accessors
    //-----------------------------------------------------------------------
    /**
     * <p>Gets the start character for this character range.</p>
     * 
     * @return the start char (inclusive)
     */
    public char getStart() {
        return this.start;
    }

    /**
     * <p>Gets the end character for this character range.</p>
     * 
     * @return the end char (inclusive)
     */
    public char getEnd() {
        return this.end;
    }

    /**
     * <p>Is this {@code CharRange} negated.</p>
     * 
     * <p>A negated range includes everything except that defined by the
     * start and end characters.</p>
     *
     * @return {@code true} if negated
     */
    public boolean isNegated() {
        return negated;
    }

    // Contains
    //-----------------------------------------------------------------------
    /**
     * <p>Is the character specified contained in this range.</p>
     *
     * @param ch  the character to check
     * @return {@code true} if this range contains the input character
     */
    public boolean contains(final char ch) {
        return (ch >= start && ch <= end) != negated;
    }

    /**
     * <p>Are all the characters of the passed in range contained in
     * this range.</p>
     *
     * @param range  the range to check against
     * @return {@code true} if this range entirely contains the input range
     * @throws IllegalArgumentException if {@code null} input
     */
    public boolean contains(final CharRange range) {
        if (range == null) {
            throw new IllegalArgumentException(""The Range must not be null"");
        }
        if (negated) {
            if (range.negated) {
                return start >= range.start && end <= range.end;
            }
            return range.end < start || range.start > end;
        }
        if (range.negated) {
            return start == 0 && end == Character.MAX_VALUE;
        }
        return start <= range.start && end >= range.end;
    }

    // Basics
    //-----------------------------------------------------------------------
    /**
     * <p>Compares two CharRange objects, returning true if they represent
     * exactly the same range of characters defined in the same way.</p>
     * 
     * @param obj  the object to compare to
     * @return true if equal
     */
    @Override
    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (obj instanceof CharRange == false) {
            return false;
        }
        final CharRange other = (CharRange) obj;
        return start == other.start && end == other.end && negated == other.negated;
    }

    /**
     * <p>Gets a hashCode compatible with the equals method.</p>
     * 
     * @return a suitable hashCode
     */
    @Override
    public int hashCode() {
        return 83 + start + 7 * end + (negated ? 1 : 0);
    }
    
    /**
     * <p>Gets a string representation of the character range.</p>
     * 
     * @return string representation of this range
     */
    @Override
    public String toString() {
        if (iToString == null) {
            final StringBuilder buf = new StringBuilder(4);
            if (isNegated()) {
                buf.append('^');
            }
            buf.append(start);
            if (start != end) {
                buf.append('-');
                buf.append(end);
            }
            iToString = buf.toString();
        }
        return iToString;
    }
    
}"
2,2,AI,1648,931,2026-01-31 17:12:53,gpt-4.1-nano,OPENAI,"import static org.junit.Assert.*;

import org.junit.Test;

public class CharRangeTest {

    @Test
    public void testIsSingleCharRange() {
        CharRange range = CharRange.is('a');
        assertEquals('a', range.getStart());
        assertEquals('a', range.getEnd());
        assertFalse(range.isNegated());
    }
    
    @Test
    public void testIsNotSingleCharRange() {
        CharRange range = CharRange.isNot('b');
        assertEquals('b', range.getStart());
        assertEquals('b', range.getEnd());
        assertTrue(range.isNegated());
    }
    
    @Test
    public void testIsInRange() {
        CharRange range = CharRange.isIn('a', 'e');
        assertEquals('a', range.getStart());
        assertEquals('e', range.getEnd());
        assertFalse(range.isNegated());
    }
    
    @Test
    public void testIsNotInRange() {
        CharRange range = CharRange.isNotIn('x', 'z');
        assertEquals('x', range.getStart());
        assertEquals('z', range.getEnd());
        assertTrue(range.isNegated());
    }
    
    @Test
    public void testContainsCharacterInsideRange() {
        CharRange range = CharRange.isIn('a', 'f');
        assertTrue(range.contains('c'));
    }
    
    @Test
    public void testContainsCharacterOutsideRange() {
        CharRange range = CharRange.isIn('a', 'f');
        assertFalse(range.contains('z'));
    }
    
    @Test
    public void testContainsCharacterInNegatedRange() {
        CharRange range = CharRange.isNot('a', 'f');
        assertFalse(range.contains('b'));
        assertTrue(range.contains('z'));
    }
    
    @Test
    public void testContainsRangeWithin() {
        CharRange outer = CharRange.isIn('a', 'z');
        CharRange inner = CharRange.isIn('c', 'f');
        assertTrue(outer.contains(inner));
    }
    
    @Test
    public void testContainsRangeOutsideNegated() {
        CharRange outer = CharRange.isNot('a', 'z');
        CharRange inner = CharRange.isIn('c', 'f');
        assertFalse(outer.contains(inner));
    }
    
    @Test
    public void testEqualsSameRange() {
        CharRange range1 = CharRange.isIn('a', 'z');
        CharRange range2 = CharRange.isIn('a', 'z');
        assertTrue(range1.equals(range2));
    }
    
    @Test
    public void testEqualsDifferentRange() {
        CharRange range1 = CharRange.isIn('a', 'z');
        CharRange range2 = CharRange.isIn('a', 'f');
        assertFalse(range1.equals(range2));
    }
    
    @Test
    public void testEqualsDifferentType() {
        CharRange range = CharRange.isIn('a', 'z');
        assertFalse(range.equals(""not a CharRange""));
    }
    
    @Test
    public void testHashCodeConsistency() {
        CharRange range1 = CharRange.isIn('a', 'z');
        CharRange range2 = CharRange.isIn('a', 'z');
        assertEquals(range1.hashCode(), range2.hashCode());
    }
    
    @Test
    public void testToStringNonNegatedSingle() {
        CharRange range = CharRange.is('a');
        assertEquals(""a"", range.toString());
    }
    
    @Test
    public void testToStringNegatedSingle() {
        CharRange range = CharRange.isNot('a');
        assertEquals(""^a"", range.toString());
    }
    
    @Test
    public void testToStringRange() {
        CharRange range = CharRange.isIn('a', 'c');
        assertEquals(""a-c"", range.toString());
    }
    
    @Test
    public void testToStringNegatedRange() {
        CharRange range = CharRange.isNotIn('x', 'z');
        assertEquals(""^x-z"", range.toString());
    }
    
    @Test
    public void testWrapperMethodsForWrongOrderStartEnd() {
        CharRange range = CharRange.isIn('z', 'a');
        assertEquals('a', range.getStart());
        assertEquals('z', range.getEnd());
    }
}"
3,0,SYSTEM,0,0,2026-01-31 17:12:47,gpt-4.1-nano,OPENAI,"You are an experienced Java developer.

You will see a class of java code. Write a complete test suite for it.

There is a strict rule of using at most 2 assertions per test. Always abide by it.

Every test must be self-contained, do not use any setup or utility methods.

Write nothing but the code of the test class.

Use JUnit 4.

Never reply in natural language.
"
3,1,USER,0,0,2026-01-31 17:12:47,gpt-4.1-nano,OPENAI,"/**
 * <p>A contiguous range of characters, optionally negated.</p>
 * 
 * <p>Instances are immutable.</p>
 */
public class CharRange {

    /** The first character, inclusive, in the range. */
    private final char start;
    /** The last character, inclusive, in the range. */
    private final char end;
    /** True if the range is everything except the characters specified. */
    private final boolean negated;
    
    /** Cached toString. */
    private transient String iToString;

    /**
     * <p>Constructs a {@code CharRange} over a set of characters,
     * optionally negating the range.</p>
     *
     * <p>A negated range includes everything except that defined by the
     * start and end characters.</p>
     * 
     * <p>If start and end are in the wrong order, they are reversed.
     * Thus {@code a-e} is the same as {@code e-a}.</p>
     *
     * @param start  first character, inclusive, in this range
     * @param end  last character, inclusive, in this range
     * @param negated  true to express everything except the range
     */
    private CharRange(char start, char end, final boolean negated) {
        super();
        if (start > end) {
            final char temp = start;
            start = end;
            end = temp;
        }
        
        this.start = start;
        this.end = end;
        this.negated = negated;
    }

    /**
     * <p>Constructs a {@code CharRange} over a single character.</p>
     *
     * @param ch  only character in this range
     * @return the new CharRange object
     * @see CharRange#CharRange(char, char, boolean)
     * @since 2.5
     */
    public static CharRange is(final char ch) {
        return new CharRange(ch, ch, false);
    }

    /**
     * <p>Constructs a negated {@code CharRange} over a single character.</p>
     *
     * @param ch  only character in this range
     * @return the new CharRange object
     * @see CharRange#CharRange(char, char, boolean)
     * @since 2.5
     */
    public static CharRange isNot(final char ch) {
        return new CharRange(ch, ch, true);
    }

    /**
     * <p>Constructs a {@code CharRange} over a set of characters.</p>
     *
     * @param start  first character, inclusive, in this range
     * @param end  last character, inclusive, in this range
     * @return the new CharRange object
     * @see CharRange#CharRange(char, char, boolean)
     * @since 2.5
     */
    public static CharRange isIn(final char start, final char end) {
        return new CharRange(start, end, false);
    }

    /**
     * <p>Constructs a negated {@code CharRange} over a set of characters.</p>
     *
     * @param start  first character, inclusive, in this range
     * @param end  last character, inclusive, in this range
     * @return the new CharRange object
     * @see CharRange#CharRange(char, char, boolean)
     * @since 2.5
     */
    public static CharRange isNotIn(final char start, final char end) {
        return new CharRange(start, end, true);
    }

    // Accessors
    //-----------------------------------------------------------------------
    /**
     * <p>Gets the start character for this character range.</p>
     * 
     * @return the start char (inclusive)
     */
    public char getStart() {
        return this.start;
    }

    /**
     * <p>Gets the end character for this character range.</p>
     * 
     * @return the end char (inclusive)
     */
    public char getEnd() {
        return this.end;
    }

    /**
     * <p>Is this {@code CharRange} negated.</p>
     * 
     * <p>A negated range includes everything except that defined by the
     * start and end characters.</p>
     *
     * @return {@code true} if negated
     */
    public boolean isNegated() {
        return negated;
    }

    // Contains
    //-----------------------------------------------------------------------
    /**
     * <p>Is the character specified contained in this range.</p>
     *
     * @param ch  the character to check
     * @return {@code true} if this range contains the input character
     */
    public boolean contains(final char ch) {
        return (ch >= start && ch <= end) != negated;
    }

    /**
     * <p>Are all the characters of the passed in range contained in
     * this range.</p>
     *
     * @param range  the range to check against
     * @return {@code true} if this range entirely contains the input range
     * @throws IllegalArgumentException if {@code null} input
     */
    public boolean contains(final CharRange range) {
        if (range == null) {
            throw new IllegalArgumentException(""The Range must not be null"");
        }
        if (negated) {
            if (range.negated) {
                return start >= range.start && end <= range.end;
            }
            return range.end < start || range.start > end;
        }
        if (range.negated) {
            return start == 0 && end == Character.MAX_VALUE;
        }
        return start <= range.start && end >= range.end;
    }

    // Basics
    //-----------------------------------------------------------------------
    /**
     * <p>Compares two CharRange objects, returning true if they represent
     * exactly the same range of characters defined in the same way.</p>
     * 
     * @param obj  the object to compare to
     * @return true if equal
     */
    @Override
    public boolean equals(final Object obj) {
        if (obj == this) {
            return true;
        }
        if (obj instanceof CharRange == false) {
            return false;
        }
        final CharRange other = (CharRange) obj;
        return start == other.start && end == other.end && negated == other.negated;
    }

    /**
     * <p>Gets a hashCode compatible with the equals method.</p>
     * 
     * @return a suitable hashCode
     */
    @Override
    public int hashCode() {
        return 83 + start + 7 * end + (negated ? 1 : 0);
    }
    
    /**
     * <p>Gets a string representation of the character range.</p>
     * 
     * @return string representation of this range
     */
    @Override
    public String toString() {
        if (iToString == null) {
            final StringBuilder buf = new StringBuilder(4);
            if (isNegated()) {
                buf.append('^');
            }
            buf.append(start);
            if (start != end) {
                buf.append('-');
                buf.append(end);
            }
            iToString = buf.toString();
        }
        return iToString;
    }
    
}"
3,2,AI,1648,810,2026-01-31 17:12:54,gpt-4.1-nano,OPENAI,"import org.junit.Test;
import static org.junit.Assert.*;

public class CharRangeTest {

    @Test
    public void testIs_SingleCharacter() {
        CharRange range = CharRange.is('a');
        assertTrue(range.contains('a'));
        assertFalse(range.contains('b'));
    }

    @Test
    public void testIsNot_SingleCharacter() {
        CharRange range = CharRange.isNot('z');
        assertFalse(range.contains('z'));
        assertTrue(range.contains('a'));
    }

    @Test
    public void testIsIn_ValidRange() {
        CharRange range = CharRange.isIn('a', 'e');
        assertTrue(range.contains('a'));
        assertTrue(range.contains('c'));
        assertTrue(range.contains('e'));
        assertFalse(range.contains('f'));
    }

    @Test
    public void testIsNotIn_ValidRange() {
        CharRange range = CharRange.isNotIn('a', 'e');
        assertFalse(range.contains('a'));
        assertFalse(range.contains('c'));
        assertFalse(range.contains('e'));
        assertTrue(range.contains('f'));
    }

    @Test
    public void testContains_SimpleRange() {
        CharRange range = CharRange.isIn('a', 'd');
        assertTrue(range.contains('b'));
        assertFalse(range.contains('z'));
    }

    @Test
    public void testContains_NegatedRange() {
        CharRange range = CharRange.isNotIn('a', 'd');
        assertFalse(range.contains('b'));
        assertTrue(range.contains('z'));
    }

    @Test
    public void testContains_RangeContainedInNegated() {
        CharRange range1 = CharRange.isIn('a', 'd');
        CharRange range2 = CharRange.isIn('b', 'c');
        assertTrue(range1.contains(range2));
        CharRange negRange = CharRange.isNotIn('a', 'd');
        assertFalse(negRange.contains(range2));
    }

    @Test
    public void testEquals_SameRange() {
        CharRange r1 = CharRange.isIn('a', 'z');
        CharRange r2 = CharRange.isIn('a', 'z');
        assertTrue(r1.equals(r2));
    }

    @Test
    public void testEquals_DifferentRange() {
        CharRange r1 = CharRange.isIn('a', 'z');
        CharRange r2 = CharRange.isIn('a', 'y');
        assertFalse(r1.equals(r2));
    }

    @Test
    public void testHashCode_SameForEqualObjects() {
        CharRange r1 = CharRange.isIn('a', 'z');
        CharRange r2 = CharRange.isIn('a', 'z');
        assertEquals(r1.hashCode(), r2.hashCode());
    }

    @Test
    public void testToString_NonNegatedSingle() {
        CharRange range = CharRange.is('b');
        assertEquals(""b"", range.toString());
    }

    @Test
    public void testToString_NonNegatedRange() {
        CharRange range = CharRange.isIn('a', 'c');
        assertEquals(""a-c"", range.toString());
    }

    @Test
    public void testToString_NegatedSingle() {
        CharRange range = CharRange.isNot('x');
        assertEquals(""^x"", range.toString());
    }

    @Test
    public void testToString_NegatedRange() {
        CharRange range = CharRange.isNotIn('m', 'p');
        assertEquals(""^m-p"", range.toString());
    }

    @Test(expected = IllegalArgumentException.class)
    public void testContains_NullRangeThrows() {
        CharRange range = CharRange.isIn('a', 'f');
        range.contains(null);
    }
}"
4,0,SYSTEM,0,0,2026-01-31 17:12:48,gpt-4.1-nano,OPENAI,"You are an experienced Java developer.

You will see a class of java code. Write a complete test suite for it.

There is a strict rule of using at most 2 assertions per test. Always abide by it.

Every test must be self-contained, do not use any setup or utility methods.

Write nothing but the code of the test class.

Use JUnit 4.

Never reply in natural language.
"
