"Zeitstempel","Benutzername (auf dem Zettel)","Alter","Geschlecht","Studiengang","Fachsemester","Erfahrung mit Java","Erfahrung mit JUnit","Was ist die beste Methode, um Gleichheit zwischen zwei Integers zu überprüfen?","Welche Annotation hilft dabei, zwischen Junit 5-Tests aufzuräumen?","Gegeben sei der folgende Testcode für Javas ArrayList-Klasse. Welche der Assertions wird durchlaufen?","Welche der Junit-Assertions wird im folgenden Code die Zeile mit dem Kommentar ""// Test me"" ausführen?","Für den unten gegebenen Code wird diese JUnit-Assertion fehlschlagen:

assertEquals(2, lastIndexOf(Arrays.asList(""a"", ""b"", ""a""), ""a""));                                                                     
Wie würdest du den Code fixen, damit die Assertion wieder durchläuft?"
"2026/02/03 8:25:54 AM MEZ","TelephoneTelephone","22","Männlich","Bachelor Internet Computing","6",">= 3 Jahre",">= 3 Jahre","int1 == int2","@AfterAll","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 8:26:16 AM MEZ","EarnestCollege","20","Weiblich","Bachelor Informatik","4",">= 1 Jahr && < 3 Jahre",">= 3 Monate && < 6 Monate","assertEquals(int1, int2)","@CleanUp","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 8:26:24 AM MEZ","TelephoneFriday","23","Männlich","Bachelor Informatik","7",">= 3 Jahre",">= 1 Jahr && < 3 Jahre","assertEquals(int1, int2)","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 8:26:27 AM MEZ","TelephoneHobbit","24","Männlich","Bachelor Internet Computing","2",">= 3 Jahre",">= 3 Jahre","assertEquals(int1, int2)","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 8:26:28 AM MEZ","TelephoneEarnest","23","Männlich","Bachelor Informatik","5",">= 1 Jahr && < 3 Jahre","< 3 Monate","assertEquals(int1, int2)","@AfterEach","assertEquals(0, list.size());","assertNull(shortest(new String[] {null, ""airplane""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 8:26:47 AM MEZ","DesertHobbit","29","Männlich","Bachelor Internet Computing","7",">= 3 Jahre",">= 1 Jahr && < 3 Jahre","assertEquals(int1, int2)","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 8:26:49 AM MEZ","HobbitFriday","21","Männlich","Bachelor Informatik","4",">= 1 Jahr && < 3 Jahre",">= 6 Monate && < 1 Jahr","assertEquals(int1, int2)","@CleanUp","assertFalse(list.isEmpty());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 8:26:59 AM MEZ","CollegeTelephone","22","Männlich","Lehramt Informatik","6",">= 3 Jahre","< 3 Monate","assertEquals(int1, int2)","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
"2026/02/03 8:27:02 AM MEZ","EarnestTelephone","57","Männlich","Bachelor Internet Computing","3",">= 6 Monate && < 1 Jahr","< 3 Monate","int1 == int2","@CleanUp","assertFalse(list.isEmpty());","assertThrows(IllegalArgumentException.class, () -> { shortest(null); });","Replace i=0; with i=1; in the for loop statement"
"2026/02/03 8:28:38 AM MEZ","FridayTelephone","22","Männlich","Bachelor Informatik","6",">= 1 Jahr && < 3 Jahre",">= 6 Monate && < 1 Jahr","assertEquals(int1, int2)","@AfterEach","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
