Conversation_ID,Index_in_conversation,Message_type,Input_tokens,Output_tokens,timestamp,Model_name,Model_type
17583,0,SYSTEM,0,0,2026-01-26 04:47:57,gpt-4.1-nano,OPENAI
17583,1,USER,0,0,2026-01-26 04:47:57,gpt-4.1-nano,OPENAI
17583,2,AI,1786,334,2026-01-26 04:47:59,gpt-4.1-nano,OPENAI
17583,3,SYSTEM,0,0,2026-01-26 04:47:59,gpt-4.1-nano,OPENAI
17583,4,AI,2159,371,2026-01-26 04:48:15,gpt-4.1-nano,OPENAI
17583,5,SYSTEM,0,0,2026-01-26 04:48:15,gpt-4.1-nano,OPENAI
17583,6,AI,2578,386,2026-01-26 04:48:30,gpt-4.1-nano,OPENAI
17583,7,SYSTEM,0,0,2026-01-26 04:48:30,gpt-4.1-nano,OPENAI
17583,8,AI,2996,377,2026-01-26 04:48:45,gpt-4.1-nano,OPENAI
17583,9,SYSTEM,0,0,2026-01-26 04:48:45,gpt-4.1-nano,OPENAI
17584,0,SYSTEM,0,0,2026-01-26 04:47:57,gpt-4.1-nano,OPENAI
17584,1,USER,0,0,2026-01-26 04:47:57,gpt-4.1-nano,OPENAI
17584,2,AI,1786,298,2026-01-26 04:47:59,gpt-4.1-nano,OPENAI
17584,3,SYSTEM,0,0,2026-01-26 04:47:59,gpt-4.1-nano,OPENAI
17584,4,AI,2133,327,2026-01-26 04:48:15,gpt-4.1-nano,OPENAI
17584,5,SYSTEM,0,0,2026-01-26 04:48:15,gpt-4.1-nano,OPENAI
17584,6,AI,2499,371,2026-01-26 04:48:30,gpt-4.1-nano,OPENAI
17584,7,SYSTEM,0,0,2026-01-26 04:48:30,gpt-4.1-nano,OPENAI
17584,8,AI,2909,372,2026-01-26 04:48:45,gpt-4.1-nano,OPENAI
17584,9,SYSTEM,0,0,2026-01-26 04:48:45,gpt-4.1-nano,OPENAI
17585,0,SYSTEM,0,0,2026-01-26 04:47:57,gpt-4.1-nano,OPENAI
17585,1,USER,0,0,2026-01-26 04:47:57,gpt-4.1-nano,OPENAI
17585,2,AI,1786,311,2026-01-26 04:47:59,gpt-4.1-nano,OPENAI
17585,3,SYSTEM,0,0,2026-01-26 04:47:59,gpt-4.1-nano,OPENAI
17585,4,AI,2130,318,2026-01-26 04:48:15,gpt-4.1-nano,OPENAI
17586,0,SYSTEM,0,0,2026-01-26 04:47:57,gpt-4.1-nano,OPENAI
17586,1,USER,0,0,2026-01-26 04:47:57,gpt-4.1-nano,OPENAI
17586,2,AI,1786,292,2026-01-26 04:47:59,gpt-4.1-nano,OPENAI
17587,0,SYSTEM,0,0,2026-01-26 04:47:57,gpt-4.1-nano,OPENAI
17587,1,USER,0,0,2026-01-26 04:47:57,gpt-4.1-nano,OPENAI
17587,2,AI,1786,334,2026-01-26 04:47:59,gpt-4.1-nano,OPENAI
17587,3,SYSTEM,0,0,2026-01-26 04:47:59,gpt-4.1-nano,OPENAI
17587,4,AI,2159,331,2026-01-26 04:48:15,gpt-4.1-nano,OPENAI
17587,5,SYSTEM,0,0,2026-01-26 04:48:15,gpt-4.1-nano,OPENAI
17587,6,AI,2529,330,2026-01-26 04:48:30,gpt-4.1-nano,OPENAI
