Conversation_ID,Strategy,Type,Game_ID,User_ID,Mutant_ID,Test_ID,Is_Active,Is_Success
17583,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,,,0,0
17584,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,,,0,0
17585,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,6591,,0,1
17586,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6589,,0,1
17587,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,,,0,0
17588,TEST_DEFAULT,DEFEND_DEFAULT,1453,6,,14889,0,1
17589,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_DEFAULT,1455,6,,,0,1
17590,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,1457,6,,,0,1
17591,TEST_FULL_SUITE,DEFEND_DEFAULT,1456,6,,,0,1
17592,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,14884,0,1
17593,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,,0,1
17594,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,,0,1
17595,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,14888,0,1
17596,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,,0,1
17597,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14885,0,1
17598,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,14886,0,1
17599,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6590,,0,1
17600,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,14892,0,1
17601,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,14890,0,1
17602,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14887,0,1
17603,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,,,0,0
17604,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6592,,0,1
17605,TEST_DEFAULT,DEFEND_DEFAULT,1453,6,,14904,0,1
17606,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,,0,1
17607,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,14895,0,1
17608,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,14896,0,1
17609,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14891,0,1
17610,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,,,0,0
17611,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,,0,1
17612,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14894,0,1
17613,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,14893,0,1
17614,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,,,0,0
17615,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,6594,,0,1
17616,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,6595,,0,1
17617,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,,0,1
17618,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,14905,0,1
17619,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,14897,0,1
17620,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,14898,0,1
17621,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14899,0,1
17622,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,6596,,0,1
17623,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,,,0,0
17624,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14902,0,1
17625,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,14903,0,1
17626,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,14901,0,1
17627,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,6598,,0,1
17628,TEST_DEFAULT,DEFEND_DEFAULT,1453,6,,14911,0,1
17629,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,6597,,0,1
17630,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,,0,0
17631,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14908,0,1
17632,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,14907,0,1
17633,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,14906,0,1
17634,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,,,0,0
17635,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,6600,,0,1
17636,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6601,,0,1
17637,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,14914,0,1
17638,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,14909,0,1
17639,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14910,0,1
17640,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,6599,,0,1
17641,TEST_DEFAULT,DEFEND_DEFAULT,1453,6,,14970,0,1
17642,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14913,0,1
17643,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,14912,0,1
17644,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,6606,,0,1
17645,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,6602,,0,1
17646,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,6608,,0,1
17647,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6603,,0,1
17648,TEST_DEFAULT,DEFEND_FOCUS,1453,6,,14917,0,1
17649,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,,0,1
17650,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,14920,0,1
17651,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,14915,0,1
17652,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14916,0,1
17653,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,6605,,0,1
17654,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1456,5,,,0,1
17655,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6607,,0,1
17656,TEST_DEFAULT,DEFEND_FOCUS,1453,6,,14919,0,1
17657,TEST_FULL_SUITE,DEFEND_DEFAULT,1456,6,,,0,1
17658,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,14924,0,1
17659,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,,0,1
17660,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,14918,0,1
17661,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,,,0,0
17662,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1457,5,,,0,1
17663,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,6609,,0,1
17664,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6610,,0,1
17665,TEST_DEFAULT,DEFEND_FOCUS,1453,6,,14931,0,1
17666,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,,0,1
17667,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14922,0,1
17668,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1457,5,,,0,1
17669,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,14923,0,1
17670,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14928,0,1
17671,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,14937,0,1
17672,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,6612,,0,1
17673,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,14927,0,1
17674,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1455,5,,,0,1
17675,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,,,0,0
17676,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,6611,,0,1
17677,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14932,0,1
17678,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6613,,0,1
17679,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_ONE_FROM_MANY,1457,6,,14929,0,1
17680,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_FOCUS,1457,6,,14936,0,1
17681,TEST_DEFAULT,DEFEND_FOCUS,1453,6,,14938,0,1
17682,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,14933,0,1
17683,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1455,5,,,0,1
17684,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,6614,,0,1
17685,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1455,5,,,0,1
17686,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,6615,,0,1
17687,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6616,,0,1
17688,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14935,0,1
17689,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,1457,6,,14945,0,1
17690,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,6617,,0,1
17691,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,14946,0,1
17692,TEST_DEFAULT,DEFEND_FOCUS,1453,6,,14943,0,1
17693,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,14939,0,1
17694,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,6618,,0,1
17695,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_ONE_FROM_MANY,1455,6,,14944,0,1
17696,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1457,5,,,0,1
17697,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_DEFAULT,1455,6,,14948,0,1
17698,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1456,5,,,0,0
17699,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_DEFAULT,1455,6,,14950,0,1
17700,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,,,0,0
17701,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1457,5,,,0,1
17702,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,6619,,0,1
17703,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14942,0,1
17704,TEST_DEFAULT,DEFEND_FOCUS,1453,6,,14962,0,1
17705,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,1457,6,,14961,0,1
17706,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1456,5,,,0,1
17707,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,14959,0,1
17708,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,6620,,0,1
17709,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,6624,,0,1
17710,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_DEFAULT,1455,6,,14967,0,1
17711,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,6621,,0,1
17712,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1456,5,,,0,1
17713,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,,,0,0
17714,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14954,0,1
17715,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,6622,,0,1
17716,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1455,5,,,0,1
17717,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,6623,,0,1
17718,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,14973,0,1
17719,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_FOCUS,1457,6,,14969,0,1
17720,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1453,5,,,0,1
17721,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14964,0,1
17722,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,6625,,0,1
17723,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1454,5,6626,,0,1
17724,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,6627,,0,1
17725,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1453,5,,,0,1
17726,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_DEFAULT,1455,6,,,0,0
17727,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1453,5,,,0,1
17728,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,6630,,0,1
17729,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_FOCUS,1457,6,,14977,0,1
17730,TEST_DEFAULT,DEFEND_DEFAULT,1453,6,,14982,0,1
17731,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14972,0,1
17732,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,,0,0
17733,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1455,5,,,0,1
17734,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,6628,,0,1
17735,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,6629,,0,1
17736,TEST_DEFAULT,DEFEND_FOCUS,1453,6,,14983,0,1
17737,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1454,5,,,0,1
17738,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_DEFAULT,1455,6,,14985,0,1
17739,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,6632,,0,1
17740,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14980,0,1
17741,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,1457,6,,14995,0,1
17742,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,,0,0
17743,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1454,5,,,0,1
17744,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,6631,,0,1
17745,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1456,5,,,0,0
17746,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1457,5,,,0,1
17747,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1454,5,,,0,1
17748,TEST_DEFAULT,DEFEND_DEFAULT,1453,6,,15000,0,1
17749,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1455,5,6633,,0,1
17750,TEST_FULL_SUITE_PLUS_ANNOTATED,DEFEND_DEFAULT,1455,6,,15007,0,1
17751,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,14988,0,1
17752,TEST_ANNOTATED_SINGLE_TEST,DEFEND_DEFAULT,1454,6,,15004,0,1
17753,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1453,5,,,0,1
17754,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1457,5,,,0,1
17755,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1454,5,,,0,1
17756,TEST_FULL_SUITE_PLUS_DEFAULT,DEFEND_DEFAULT,1457,6,,15008,0,1
17757,TEST_DEFAULT,DEFEND_DEFAULT,1453,6,,15009,0,1
17758,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1456,5,6635,,0,1
17759,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1457,5,6634,,0,1
17760,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_DEFAULT,1453,5,6636,,0,1
17761,TEST_DEFAULT,DEFEND_DEFAULT,1453,6,,15021,0,1
17762,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1454,5,,,0,1
17763,MUTANT_ANNOTATED_FULL_CLASS,ATTACK_EQUIVALENCE,1455,5,,,0,1
17764,TEST_FULL_SUITE,DEFEND_ONE_FROM_MANY,1456,6,,15001,0,1
