"Zeitstempel","Benutzername (auf dem Zettel)","Wie schätzt du die Programmierkenntnisse deines Gegners ein?","Wie einfallsreich hat sich dein Gegner verhalten?","Wie herausfordernd war es, gegen deinen Gegner zu spielen?","Wie viel Spaß hattest du an dem Spiel?","Glaubst du, dein Gegner war ein Mensch oder eine KI?","Woran hast du das festgemacht?"
"2026/02/03 9:05:28 AM MEZ","CollegeTelephone","3","3","3","3","3","Unklar"
"2026/02/03 9:06:08 AM MEZ","TelephoneHobbit","2","2","2","2","1","Lange Wartezeiten zwischen Mutanten"
"2026/02/03 9:06:13 AM MEZ","TelephoneEarnest","4","3","4","3","4",""
"2026/02/03 9:06:22 AM MEZ","DesertHobbit","4","3","3","4","3","Ich hab nicht wirklich einen Anhaltspunkt "
"2026/02/03 9:06:26 AM MEZ","TelephoneEarnest","4","3","4","3","4",""
"2026/02/03 9:06:35 AM MEZ","VeniceDesert","3","2","4","2","5","Mein Gegner hat Mutanten in nur 2 Methoden erstellt, aber dann so 17 Stück in einer Zeile???"
"2026/02/03 9:06:39 AM MEZ","DesertEarnest","2","2","1","1","5","Sehr wenige Tests wurden geschrieben."
"2026/02/03 9:07:08 AM MEZ","HobbitFriday","4","3","3","5","4","Ich habe eine Serie von ähnlichen Mutanten implementiert (in allen Methoden return this durchs return null ersetzt usw.), und nur ein kleiner Teil davon wurde erkannt. Ein Mensch würde meiner Meinung nach den Pattern erkennen und gleich alle Methoden prüfen"
"2026/02/03 9:07:20 AM MEZ","EarnestTelephone","5","5","5","1","3","Für mich nicht nachvollziehbar "
"2026/02/03 9:07:56 AM MEZ","EarnestCollege","3","2","3","5","1","Hat am Anfang ein wenig gedauert bis der erste Test geschrieben wurde."
"2026/02/03 9:08:06 AM MEZ","TelephoneTelephone","3","2","3","3","5","Die KI hat versucht die Tests strikt von oben nach unten abzuarbeiten und danach viele Mutanten die nicht direkt gekillt wurden als equivalent zu markieren."
"2026/02/03 9:08:08 AM MEZ","TelephoneFriday","4","2","4","4","4","Claimed equivalent wurde zu schnell widerlegt"
"2026/02/03 9:08:21 AM MEZ","FridayTelephone","3","3","4","3","4","Ich glaube ein Mensch hätte den letzten Mutanten, den er nicht geschafft hatte zu testen, als Äquivalent markiert."
"2026/02/03 12:57:51 PM MEZ","DesertTelephone","2","1","1","3","2",""
"2026/02/03 12:58:19 PM MEZ","CollegeEarnest ","4","5","5","3","3","Nicht gemerkt "
"2026/02/03 12:58:37 PM MEZ","HobbitHobbit","4","3","3","2","2","Systematisch langsameres, bedachteres Vorgehen"
"2026/02/03 12:58:55 PM MEZ","FridayCollege","4","3","5","3","5","Sehr gute Tests hintereinander geschrieben "
"2026/02/03 12:58:58 PM MEZ","OwlDesert","3","5","4","2","3",""
"2026/02/03 12:59:06 PM MEZ","FridayFriday","4","3","2","2","5","Sehr viele Mutanten in sehr kurzer Zeit, nur eine einzige Methode angegriffen, mit jedem Mutanten mehrere Zeilen verändert"
"2026/02/03 12:59:09 PM MEZ","HobbitEarnest","2","2","2","4","2","Nicht äquivalente Mutanten wurden ""auf Verdacht"" als äquivalent markiert."
"2026/02/03 12:59:15 PM MEZ","FridayDesert","3","2","2","2","5","Es kamen ewig keine tests und dann plötzlich sehr viele.  Wirkte sehr komisch und ich konnte die tests des gegners den Code nicht abrufen"
"2026/02/03 1:00:06 PM MEZ","HobbitCollege ","3","4","3","3","3",""
"2026/02/03 1:01:36 PM MEZ","CollegeOwl","3","5","4","3","5","Too good"
"2026/02/03 1:01:56 PM MEZ","FridayHobbit","2","2","2","4","4","Die Mutanten waren in vielen Zeilen aber nur eine in jeder Zeile aber halt einfache"
"2026/02/03 1:02:32 PM MEZ","HobbitVenice","2","2","2","4","4","The attacker created 11 single mutants in 4 minutes immediately after joining, 5 of those being created in the first 2 minutes. Also, the mutants were quite basic and easy to guess."
"2026/02/03 1:34:04 PM MEZ","FridayHobbit","5","5","5","2","3",""
